Detail,,,,,,,,,,,7,ADA06,,,,,,,,
Detail,0,1,0,0,,0,0,,0,2021-06-15 - 2021-05-15,7,ADA06,,,,,,,,
Header,,,,ADA04,5,2021-06-15,Call Charges,N,,,,,,,,,,,,2021-06-15
Detail,0,1,17.90,20.5850,,15,0,,1002100,National,6,ADA04,,,,,,,,
Detail,0,1,293.52,337.5480,,15,0,,1002100,Fixed to Mobile CLI,6,ADA04,,,,,,,,
Detail,0,1,0.06,0.0690,,15,0,,1002100,Fixed to Mobile Non-CLI,6,ADA04,,,,,,,,
Detail,0,1,137.85,158.5275,,15,0,,1002100,Local,6,ADA04,,,,,,,,
Detail,0,1,61.33,70.5295,,15,0,,1002100,Special,6,ADA04,,,,,,,,
Detail,,,,,,,,,,,7,ADA04,,,,,,,,
Detail,0,1,0,0,,0,0,,0,2021-06-15 - 2021-05-15,7,ADA04,,,,,,,,
Header,,,,ADA02,5,2021-06-15,Call Charges,N,,,,,,,,,,,,2021-06-15
Detail,0,1,0.00,0.0000,,15,0,,NO GL MATCH,On Net,6,ADA02,,,,,,,,
Detail,0,1,84.88,97.6120,,15,0,,1002100,National,6,ADA02,,,,,,,,
Detail,0,1,810.13,931.6495,,15,0,,1002100,Fixed to Mobile CLI,6,ADA02,,,,,,,,
Detail,0,1,3.39,3.8985,,15,0,,1002100,Fixed to Mobile Non-CLI,6,ADA02,,,,,,,,
Detail,0,1,599.20,689.0800,,15,0,,1002100,Local,6,ADA02,,,,,,,,
Detail,0,1,149.70,172.1550,,15,0,,1002100,Special,6,ADA02,,,,,,,,
Detail,,,,,,,,,,,7,ADA02,,,,,,,,
Detail,0,1,0,0,,0,0,,0,2021-06-15 - 2021-05-15,7,ADA02,,,,,,,,
Header,,,,ADA03,5,2021-06-15,Call Charges,N,,,,,,,,,,,,2021-06-15
Detail,0,1,26.29,30.2335,,15,0,,1002100,National,6,ADA03,,,,,,,,
Detail,0,1,612.69,704.5935,,15,0,,1002100,Fixed to Mobile CLI,6,ADA03,,,,,,,,
Detail,0,1,1.99,2.2885,,15,0,,1002100,Fixed to Mobile Non-CLI,6,ADA03,,,,,,,,
Detail,0,1,298.55,343.3325,,15,0,,1002100,Local,6,ADA03,,,,,,,,
Detail,0,1,46.43,53.3945,,15,0,,1002100,Special,6,ADA03,,,,,,,,
Detail,,,,,,,,,,,7,ADA03,,,,,,,,
Detail,0,1,0,0,,0,0,,0,2021-06-15 - 2021-05-15,7,ADA03,,,,,,,,
Header,,,,ADA01,5,2021-06-15,Call Charges,N,,,,,,,,,,,,2021-06-15
Detail,0,1,99.00,113.8500,,15,0,,1002101,Sip Account,6,ADA01,,,,,,,,
Detail,0,1,499.00,573.8500,,15,0,,1050103,Router Rental,6,ADA01,,,,,,,,
Detail,,,,,,,,,,,7,ADA01,,,,,,,,
Detail,0,1,0,0,,0,0,,0,2021-06-15 - 2021-05-15,7,ADA01,,,,,,,,
Header,,,,ADD01,5,2021-06-15,Call Charges,N,,,,,,,,,,,,2021-06-15
Detail,0,1,61.01,70.1615,,15,0,,1002100,National,6,ADD01,,,,,,,,
Detail,0,1,406.74,467.7510,,15,0,,1002100,Fixed to Mobile CLI,6,ADD01,,,,,,,,
Detail,0,1,20.12,23.1380,,15,0,,1002100,Fixed to Mobile Non-CLI,6,ADD01,,,,,,,,
Detail,0,1,109.33,125.7295,,15,0,,1002100,Local,6,ADD01,,,,,,,,
